# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  008200 000024.0 00006 000279 002.8 000.0  004104 000012.0 00003 000296 003.0 000.0  002056 000006.0 00001 000295 003.0 000.0  001032 000003.0 00000 000270 002.7 000.0
000000004 025000.0  008200 000032.0 00008 000296 003.0 000.0  004104 000016.0 00004 000287 002.9 000.0  002056 000008.0 00002 000294 002.9 000.0  001032 000004.0 00001 000292 002.9 000.0
000000005 020000.0  008200 000040.0 00010 000283 002.8 000.0  004104 000020.0 00005 000295 003.0 000.0  002056 000010.0 00002 000269 002.7 000.0  001032 000005.0 00001 000268 002.7 000.0
000000006 016666.7  008200 000048.0 00012 000289 002.9 000.0  004104 000024.0 00006 000291 002.9 000.0  002056 000012.0 00003 000279 002.8 000.0  001032 000006.0 00001 000295 003.0 000.0
000000008 012500.0  008200 000064.1 00016 000289 002.9 000.0  004104 000032.1 00008 000284 002.8 000.0  002056 000016.1 00004 000273 002.7 000.0  001032 000008.1 00002 000295 003.0 000.0
000000010 010000.0  008200 000080.1 00020 000276 002.8 000.0  004104 000040.1 00010 000286 002.9 000.0  002056 000020.1 00005 000293 002.9 000.0  001032 000010.1 00002 000265 002.6 000.0
000000012 008333.3  008200 000096.1 00024 000298 003.0 000.0  004104 000048.1 00012 000271 002.7 000.0  002056 000024.1 00006 000287 002.9 000.0  001032 000012.1 00003 000281 002.8 000.0
000000016 006250.0  008200 000128.1 00032 000285 002.9 000.0  004104 000064.1 00016 000293 002.9 000.0  002056 000032.1 00008 000300 003.0 000.0  001032 000016.1 00004 000282 002.8 000.0
000000020 005000.0  008200 000160.2 00040 000296 003.0 000.0  004104 000080.2 00020 000284 002.8 000.0  002056 000040.2 00010 000293 002.9 000.0  001032 000020.2 00005 000287 002.9 000.0
000000024 004166.7  008200 000192.2 00048 000280 002.8 000.0  004104 000096.2 00024 000296 003.0 000.0  002056 000048.2 00012 000284 002.8 000.0  001032 000024.2 00006 000283 002.8 000.0
000000032 003125.0  008200 000256.2 00064 000277 002.8 000.0  004104 000128.2 00032 000264 002.6 000.0  002056 000064.2 00016 000280 002.8 000.0  001032 000032.2 00008 000295 003.0 000.0
000000040 002500.0  008200 000320.3 00080 000713 007.1 000.0  004104 000160.3 00040 000292 002.9 000.0  002056 000080.3 00020 000283 002.8 000.0  001032 000040.3 00010 000282 002.8 000.0
000000048 002083.3  008200 000384.4 00096 000683 006.8 000.0  004104 000192.4 00048 000280 002.8 000.0  002056 000096.4 00024 000288 002.9 000.0  001032 000048.4 00012 000283 002.8 000.0
000000064 001562.5  008200 000512.5 00128 000701 007.0 000.0  004104 000256.5 00064 000312 003.1 000.0  002056 000128.5 00032 000279 002.8 000.0  001032 000064.5 00016 000292 002.9 000.0
000000080 001250.0  008200 000640.6 00160 000689 006.9 000.0  004104 000320.6 00080 000654 006.5 000.0  002056 000160.6 00040 000290 002.9 000.0  001032 000080.6 00020 000287 002.9 000.0
000000096 001041.7  008200 000768.8 00192 000645 006.5 000.0  004104 000384.8 00096 000701 007.0 000.0  002056 000192.8 00048 000282 002.8 000.0  001032 000096.8 00024 000290 002.9 000.0
000000128 000781.2  008200 001025.0 00256 000688 006.9 000.0  004104 000513.0 00128 000709 007.1 000.0  002056 000257.0 00064 000290 002.9 000.0  001032 000129.0 00032 000283 002.8 000.0
000000160 000625.0  008200 001281.2 00320 000706 007.1 000.0  004104 000641.2 00160 000651 006.5 000.0  002056 000321.2 00080 000503 005.0 000.0  001032 000161.2 00040 000283 002.8 000.0
000000192 000520.8  008200 001537.5 00384 000754 007.5 000.0  004104 000769.5 00192 000742 007.4 000.0  002056 000385.5 00096 000503 005.0 000.0  001032 000193.5 00048 000301 003.0 000.0
000000256 000390.6  008200 002050.0 00512 000708 007.1 000.0  004104 001026.0 00256 000710 007.1 000.0  002056 000514.0 00128 000475 004.8 000.0  001032 000258.0 00064 000303 003.0 000.0
000000320 000312.5  008200 002562.5 00640 000710 007.1 000.0  004104 001282.5 00320 000696 007.0 000.0  002056 000642.5 00160 000473 004.7 000.0  001032 000322.5 00080 000380 003.8 000.0
000000384 000260.4  008200 003075.0 00768 000710 007.1 000.0  004104 001539.0 00384 000680 006.8 000.0  002056 000771.0 00192 000450 004.5 000.0  001032 000387.0 00096 000382 003.8 000.0
000000512 000195.3  008200 004100.0 01025 000674 006.7 000.0  004104 002052.0 00513 000687 006.9 000.0  002056 001028.0 00257 000485 004.8 000.0  001032 000516.0 00129 000375 003.8 000.0
000000640 000156.2  008200 005125.0 01281 000860 008.6 000.0  004104 002565.0 00641 000929 009.3 000.0  002056 001285.0 00321 000476 004.8 000.0  001032 000645.0 00161 000393 003.9 000.0
000000768 000130.2  008200 006150.0 01537 001063 010.6 000.0  004104 003078.0 00769 001050 010.5 000.0  002056 001542.0 00385 000504 005.0 000.0  001032 000774.0 00193 000409 004.1 000.0
000001024 000097.7  008200 008200.0 02050 001201 012.0 000.0  004104 004104.0 01026 001175 011.8 000.0  002056 002056.0 00514 000953 009.5 000.0  001032 001032.0 00258 000923 009.2 000.0
000001280 000078.1  008200 010250.0 02562 001172 011.7 000.0  004104 005130.0 01282 001168 011.7 000.0  002056 002570.0 00642 000980 009.8 000.0  001032 001290.0 00322 000881 008.8 000.0
000001536 000065.1  008200 012300.0 03075 001283 012.8 000.0  004104 006156.0 01539 001234 012.3 000.0  002056 003084.0 00771 000996 010.0 000.0  001032 001548.0 00387 000901 009.0 000.0
000002048 000048.8  008200 016400.0 04100 001495 014.9 000.0  004104 008208.0 02052 001425 014.2 000.0  002056 004112.0 01028 000980 009.8 000.0  001032 002064.0 00516 000848 008.5 000.0
000002560 000039.1  008200 020500.0 05125 001782 017.8 000.0  004104 010260.0 02565 001583 015.8 000.0  002056 005140.0 01285 001035 010.3 000.0  001032 002580.0 00645 000874 008.7 000.0
000003072 000032.6  008200 024600.0 06150 002022 020.2 000.0  004104 012312.0 03078 001837 018.4 000.0  002056 006168.0 01542 001044 010.4 000.0  001032 003096.0 00774 000880 008.8 000.0
000004096 000024.4  008200 032800.0 08200 001939 019.4 000.0  004104 016416.0 04104 001931 019.3 000.0  002056 008224.0 02056 001156 011.6 000.0  001032 004128.0 01032 000849 008.5 000.0
000005120 000019.5  008200 041000.0 10250 002090 020.9 000.0  004104 020520.0 05130 001911 019.1 000.0  002056 010280.0 02570 001380 013.8 000.0  001032 005160.0 01290 000914 009.1 000.0
000006144 000016.3  008200 049200.0 12300 001952 019.5 000.0  004104 024624.0 06156 001893 018.9 000.0  002056 012336.0 03084 001400 014.0 000.0  001032 006192.0 01548 000912 009.1 000.0
000008192 000012.2  008200 065600.0 16400 002043 020.4 000.0  004104 032832.0 08208 001769 017.7 000.0  002056 016448.0 04112 001392 013.9 000.0  001032 008256.0 02064 000986 009.9 000.0
000010240 000009.8  008200 082000.0 20500 002063 020.6 000.0  004104 041040.0 10260 002013 020.1 000.0  002056 020560.0 05140 001298 013.0 000.0  001032 010320.0 02580 001126 011.3 000.0
000012288 000008.1  008200 098400.0 24600 001886 018.9 000.0  004104 049248.0 12312 002557 025.6 000.1  002056 024672.0 06168 001367 013.7 000.0  001032 012384.0 03096 001117 011.2 000.0
000016384 000006.1  008200 131200.0 32800 004836 048.4 000.1  004104 065664.0 16416 003709 037.1 000.1  002056 032896.0 08224 002706 027.1 000.1  001032 016512.0 04128 002288 022.9 000.0
000020480 000004.9  008200 164000.0 41000 004378 043.8 000.1  004104 082080.0 20520 004128 041.3 000.1  002056 041120.0 10280 003432 034.3 000.1  001032 020640.0 05160 003147 031.5 000.1
000024576 000004.1  008200 196800.0 49200 004777 047.8 000.1  004104 098496.0 24624 004304 043.0 000.1  002056 049344.0 12336 003573 035.7 000.1  001032 024768.0 06192 003926 039.3 000.1
000032768 000003.1  008200 262400.0 65600 004671 046.7 000.1  004104 131328.0 32832 005039 050.4 000.1  002056 065792.0 16448 003750 037.5 000.1  001032 033024.0 08256 004280 042.8 000.1
000040960 000002.4  008200 328000.0 82000 004578 045.8 000.1  004104 164160.0 41040 005631 056.3 000.1  002056 082240.0 20560 004121 041.2 000.1  001032 041280.0 10320 005067 050.7 000.1
000049152 000002.0  008200 393600.0 98400 007237 072.4 000.1  004104 196992.0 49248 006010 060.1 000.1  002056 098688.0 24672 004736 047.4 000.1  001032 049536.0 12384 006920 069.2 000.1
000065536 000001.5  008200 524800.0 131200 010862 108.6 000.2  004104 262656.0 65664 007119 071.2 000.1  002056 131584.0 32896 005647 056.5 000.1  001032 066048.0 16512 013469 134.7 000.3
000081920 000001.2  008200 656000.0 164000 014234 142.3 000.3  004104 328320.0 82080 015835 158.3 000.3  002056 164480.0 41120 010208 102.1 000.2  001032 082560.0 20640 016248 162.5 000.3
