# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  016 000000048 002083.3 005963 059.6 000.1  008 000000096 001041.7 006129 061.3 000.1
000001.0 00000  016 000000064 001562.5 005642 056.4 000.1  008 000000128 000781.2 005654 056.5 000.1
000001.2 00000  016 000000080 001250.0 005780 057.8 000.1  008 000000160 000625.0 005946 059.5 000.1
000001.5 00000  016 000000096 001041.7 006198 062.0 000.1  008 000000192 000520.8 005642 056.4 000.1
000002.0 00000  016 000000128 000781.2 006209 062.1 000.1  008 000000256 000390.6 006291 062.9 000.1
000002.5 00000  016 000000160 000625.0 006044 060.4 000.1  008 000000320 000312.5 005924 059.2 000.1
000003.0 00000  016 000000192 000520.8 006153 061.5 000.1  008 000000384 000260.4 006195 062.0 000.1
000004.0 00001  016 000000256 000390.6 005835 058.4 000.1  008 000000512 000195.3 005780 057.8 000.1
000005.0 00001  016 000000320 000312.5 006075 060.8 000.1  008 000000640 000156.2 005710 057.1 000.1
000006.0 00001  016 000000384 000260.4 005723 057.2 000.1  008 000000768 000130.2 006110 061.1 000.1
000008.0 00002  016 000000512 000195.3 005893 058.9 000.1  008 000001024 000097.7 005625 056.2 000.1
000010.0 00002  016 000000640 000156.2 005902 059.0 000.1  008 000001280 000078.1 005864 058.6 000.1
000012.0 00003  016 000000768 000130.2 006123 061.2 000.1  008 000001536 000065.1 005573 055.7 000.1
000016.0 00004  016 000001024 000097.7 006220 062.2 000.1  008 000002048 000048.8 005894 058.9 000.1
000020.0 00005  016 000001280 000078.1 006207 062.1 000.1  008 000002560 000039.1 006117 061.2 000.1
000024.0 00006  016 000001536 000065.1 006221 062.2 000.1  008 000003072 000032.6 006324 063.2 000.1
000032.0 00008  016 000002048 000048.8 005917 059.2 000.1  008 000004096 000024.4 006123 061.2 000.1
000040.0 00010  016 000002560 000039.1 006024 060.2 000.1  008 000005120 000019.5 005750 057.5 000.1
000048.0 00012  016 000003072 000032.6 005894 058.9 000.1  008 000006144 000016.3 005834 058.3 000.1
000064.0 00016  016 000004096 000024.4 006006 060.1 000.1  008 000008192 000012.2 006211 062.1 000.1
000080.0 00020  016 000005120 000019.5 005875 058.8 000.1  008 000010240 000009.8 005937 059.4 000.1
000096.0 00024  016 000006144 000016.3 006019 060.2 000.1  008 000012288 000008.1 005579 055.8 000.1
000128.0 00032  016 000008192 000012.2 005865 058.6 000.1  008 000016384 000006.1 006027 060.3 000.1
000160.0 00040  016 000010240 000009.8 006242 062.4 000.1  008 000020480 000004.9 006130 061.3 000.1
000192.0 00048  016 000012288 000008.1 005652 056.5 000.1  008 000024576 000004.1 006211 062.1 000.1
000256.0 00064  016 000016384 000006.1 006237 062.4 000.1  008 000032768 000003.1 005899 059.0 000.1
000320.0 00080  016 000020480 000004.9 006020 060.2 000.1  008 000040960 000002.4 005555 055.5 000.1
000384.0 00096  016 000024576 000004.1 006050 060.5 000.1  008 000049152 000002.0 006018 060.2 000.1
000512.0 00128  016 000032768 000003.1 006011 060.1 000.1  008 000065536 000001.5 006215 062.1 000.1
000640.0 00160  016 000040960 000002.4 005708 057.1 000.1  008 000081920 000001.2 006119 061.2 000.1
000768.0 00192  016 000049152 000002.0 006366 063.7 000.1  008 000098304 000001.0 005856 058.6 000.1
001024.0 00256  016 000065536 000001.5 006120 061.2 000.1  008 000131072 000000.8 006333 063.3 000.1
001280.0 00320  016 000081920 000001.2 006478 064.8 000.1  008 000163840 000000.6 005981 059.8 000.1
001536.0 00384  016 000098304 000001.0 005810 058.1 000.1  008 000196608 000000.5 006216 062.2 000.1
