# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  016 000000048 002083.3 000295 003.0 000.0  008 000000096 001041.7 000280 002.8 000.0
000001.0 00000  016 000000064 001562.5 000285 002.9 000.0  008 000000128 000781.2 000275 002.8 000.0
000001.2 00000  016 000000080 001250.0 000281 002.8 000.0  008 000000160 000625.0 000277 002.8 000.0
000001.5 00000  016 000000096 001041.7 000283 002.8 000.0  008 000000192 000520.8 000295 003.0 000.0
000002.0 00000  016 000000128 000781.2 000281 002.8 000.0  008 000000256 000390.6 000284 002.8 000.0
000002.5 00000  016 000000160 000625.0 000295 003.0 000.0  008 000000320 000312.5 000275 002.8 000.0
000003.0 00000  016 000000192 000520.8 000264 002.6 000.0  008 000000384 000260.4 000295 003.0 000.0
000004.0 00001  016 000000256 000390.6 000290 002.9 000.0  008 000000512 000195.3 000305 003.0 000.0
000005.0 00001  016 000000320 000312.5 000281 002.8 000.0  008 000000640 000156.2 000288 002.9 000.0
000006.0 00001  016 000000384 000260.4 000293 002.9 000.0  008 000000768 000130.2 000277 002.8 000.0
000008.0 00002  016 000000512 000195.3 000296 003.0 000.0  008 000001024 000097.7 000280 002.8 000.0
000010.0 00002  016 000000640 000156.2 000295 003.0 000.0  008 000001280 000078.1 000279 002.8 000.0
000012.0 00003  016 000000768 000130.2 000295 003.0 000.0  008 000001536 000065.1 000266 002.7 000.0
000016.0 00004  016 000001024 000097.7 000282 002.8 000.0  008 000002048 000048.8 000286 002.9 000.0
000020.0 00005  016 000001280 000078.1 000287 002.9 000.0  008 000002560 000039.1 000280 002.8 000.0
000024.0 00006  016 000001536 000065.1 000273 002.7 000.0  008 000003072 000032.6 000268 002.7 000.0
000032.0 00008  016 000002048 000048.8 000278 002.8 000.0  008 000004096 000024.4 000281 002.8 000.0
000040.0 00010  016 000002560 000039.1 000290 002.9 000.0  008 000005120 000019.5 000296 003.0 000.0
000048.0 00012  016 000003072 000032.6 000294 002.9 000.0  008 000006144 000016.3 000286 002.9 000.0
000064.0 00016  016 000004096 000024.4 000302 003.0 000.0  008 000008192 000012.2 000275 002.8 000.0
000080.0 00020  016 000005120 000019.5 000282 002.8 000.0  008 000010240 000009.8 000298 003.0 000.0
000096.0 00024  016 000006144 000016.3 000304 003.0 000.0  008 000012288 000008.1 000296 003.0 000.0
000128.0 00032  016 000008192 000012.2 000271 002.7 000.0  008 000016384 000006.1 000284 002.8 000.0
000160.0 00040  016 000010240 000009.8 000299 003.0 000.0  008 000020480 000004.9 000282 002.8 000.0
